imo,ofac,uk,eu
9352195,False,True,True
9352559,True,False,False
9353096,False,True,True
9353113,False,True,True
9353125,False,True,True
9353905,True,False,False
9354167,True,False,False
9354301,True,True,True
9354313,True,True,True
9354521,True,False,False
9354636,False,False,True
9356593,True,False,False
9357183,True,False,False
9357353,True,False,False
9357365,True,False,False
9357377,True,False,False
9357389,True,False,False
9357391,True,False,False
9357406,True,False,False
9357717,True,False,False
9357729,True,False,False
9358010,True,False,True
9358034,True,False,False
9358802,True,False,False
9360001,True,False,False
9360128,True,True,True
9360130,True,True,True
9360415,False,True,True
9361407,True,False,False
9362059,True,False,False
9362061,True,False,False
9362073,True,False,False
9363182,True,False,False
9364112,True,False,False
9365752,True,False,False
9365764,True,False,False
9365776,True,False,False
9366110,True,False,False
9367982,True,False,False
9367994,True,False,False
9368003,True,False,False
9368015,True,False,False
9368223,False,True,True
9368235,False,True,True
9368340,True,False,False
9369617,False,False,True
9369710,True,False,False
9369722,True,False,False
9369760,True,False,False
9371608,True,False,False
9372547,True,True,True
9372559,True,True,True
9372561,True,True,True
9372705,True,False,False
9374868,False,True,True
9376440,True,False,False
9377042,False,True,True
9377779,False,True,True
9378618,True,True,True
9378620,False,True,True
9378632,True,True,True
9379052,False,True,True
9379301,True,True,True
9379404,True,False,False
9379636,True,False,False
9379698,True,False,False
9379703,True,False,False
9380570,True,True,True
9380673,False,True,True
9381732,True,True,True
9381744,True,True,False
9382073,True,True,True
9382712,False,True,True
9382798,True,True,True
9383869,False,True,True
9383950,True,True,True
9384069,False,True,True
9384095,False,True,True
9384306,True,True,True
9384435,False,True,True
9384447,False,True,True
9384459,False,True,True
9384992,False,True,True
9385142,True,True,True
9385233,False,False,True
9385831,False,True,True
9386304,True,False,False
9386500,True,False,False
9386536,False,True,True
